LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
-4.3279400000,-43.9869300000,316.6400000000,3.0800000000,1.6700000000,2022/11/17,"0143",T,"94",6.1NRT,292.3900000000,68.1400000000,N
-4.1678400000,-48.7832000000,321.5400000000,1.3300000000,1.1400000000,2022/11/17,"0143",T,"100",6.1NRT,272.4000000000,31.2000000000,N
-4.1699600000,-48.7887800000,325.9000000000,1.3300000000,1.1400000000,2022/11/17,"0143",T,"100",6.1NRT,272.5400000000,39.0100000000,N
-4.3223000000,-49.9279700000,347.4700000000,1.1400000000,1.0600000000,2022/11/17,"0143",T,"100",6.1NRT,281.1900000000,69.9400000000,N
-4.3237300000,-49.9380300000,348.1200000000,1.1400000000,1.0600000000,2022/11/17,"0143",T,"100",6.1NRT,280.7100000000,71.5000000000,N
-3.0903500000,-47.0521800000,321.1600000000,1.8500000000,1.3300000000,2022/11/17,"0143",T,"100",6.1NRT,290.8400000000,43.5900000000,N
-3.5149500000,-50.2137300000,325.6700000000,1.1200000000,1.0600000000,2022/11/17,"0143",T,"100",6.1NRT,291.5500000000,26.5800000000,N
-3.6754500000,-51.8004600000,324.2600000000,1.0100000000,1.0000000000,2022/11/17,"0143",T,"100",6.1NRT,279.1900000000,23.1600000000,N
-3.3151200000,-50.5507400000,319.0900000000,1.0900000000,1.0400000000,2022/11/17,"0143",T,"98",6.1NRT,290.0900000000,17.9200000000,N
-3.3170200000,-50.6972900000,330.8300000000,1.0800000000,1.0400000000,2022/11/17,"0143",T,"100",6.1NRT,292.5900000000,31.2800000000,N
-3.3183700000,-50.7068100000,323.5800000000,1.0800000000,1.0400000000,2022/11/17,"0143",T,"100",6.1NRT,290.8100000000,21.9500000000,N
-2.9887600000,-49.4610900000,319.6100000000,1.2500000000,1.1100000000,2022/11/17,"0143",T,"99",6.1NRT,292.1000000000,22.2400000000,N
-2.9903900000,-49.4721700000,322.3700000000,1.2500000000,1.1100000000,2022/11/17,"0143",T,"100",6.1NRT,293.4500000000,25.8200000000,N
-3.3847100000,-52.4805000000,316.9600000000,1.0000000000,1.0000000000,2022/11/17,"0143",T,"94",6.1NRT,287.1700000000,14.7600000000,N
-3.3750000000,-53.2615200000,316.2800000000,1.0200000000,1.0100000000,2022/11/17,"0143",T,"93",6.1NRT,287.5700000000,14.4000000000,N
-2.7855600000,-49.1915200000,319.9500000000,1.3100000000,1.1300000000,2022/11/17,"0143",T,"99",6.1NRT,294.4900000000,23.9300000000,N
-2.8489100000,-49.6277800000,318.0600000000,1.2300000000,1.1000000000,2022/11/17,"0143",T,"96",6.1NRT,282.5500000000,21.7900000000,N
-3.3609700000,-53.2266100000,362.2200000000,1.0200000000,1.0100000000,2022/11/17,"0143",T,"100",6.1NRT,293.3200000000,93.0100000000,N
-3.3622300000,-53.2356700000,388.6900000000,1.0200000000,1.0100000000,2022/11/17,"0143",T,"100",6.1NRT,293.5100000000,196.3100000000,N
-3.1235900000,-53.1132500000,316.0200000000,1.0200000000,1.0100000000,2022/11/17,"0143",T,"92",6.1NRT,294.6600000000,13.1800000000,N
-3.1248500000,-53.1222000000,321.4500000000,1.0200000000,1.0100000000,2022/11/17,"0143",T,"100",6.1NRT,294.9300000000,18.2100000000,N
-2.7444100000,-51.7947900000,319.9400000000,1.0100000000,1.0100000000,2022/11/17,"0143",T,"99",6.1NRT,294.6600000000,16.1000000000,N
-2.9155300000,-53.9938700000,319.6700000000,1.0700000000,1.0300000000,2022/11/17,"0143",T,"99",6.1NRT,281.5600000000,19.7300000000,N
-2.3955300000,-51.2801400000,320.5700000000,1.0500000000,1.0200000000,2022/11/17,"0143",T,"100",6.1NRT,291.7500000000,17.1100000000,N
-2.0645100000,-49.0070800000,321.1800000000,1.3800000000,1.1600000000,2022/11/17,"0143",T,"100",6.1NRT,294.3400000000,28.3400000000,N
-2.3864700000,-51.2814500000,340.8300000000,1.0500000000,1.0200000000,2022/11/17,"0143",T,"100",6.1NRT,291.4900000000,45.6200000000,N
-2.2307800000,-51.9355400000,315.5200000000,1.0100000000,1.0100000000,2022/11/17,"0143",T,"91",6.1NRT,293.9200000000,12.0800000000,N
-21.0858800000,-48.3985100000,321.0400000000,1.0000000000,1.0000000000,2022/11/17,"0138",T,"100",6.1NRT,293.7000000000,17.8200000000,N
5.5652900000,5.0791900000,322.2500000000,1.4700000000,1.2000000000,2022/11/17,"0138",A,"100",6.1NRT,293.0100000000,31.8600000000,N
-1.9467500000,-52.0825400000,332.1700000000,1.0100000000,1.0000000000,2022/11/17,"0145",T,"100",6.1NRT,288.3000000000,30.9700000000,N
-1.9480000000,-52.0914400000,319.4200000000,1.0100000000,1.0000000000,2022/11/17,"0145",T,"98",6.1NRT,286.5800000000,16.1800000000,N
-2.1825500000,-54.4749100000,322.4400000000,1.1000000000,1.0500000000,2022/11/17,"0145",T,"100",6.1NRT,274.9200000000,23.2300000000,N
9.6218200000,-63.7200200000,315.1200000000,3.3400000000,1.7200000000,2022/11/17,"0149",T,"91",6.1NRT,282.6000000000,78.0500000000,N
9.6512100000,-63.6363800000,318.8900000000,3.2800000000,1.7100000000,2022/11/17,"0149",T,"98",6.1NRT,281.3900000000,93.9800000000,N
9.6494300000,-63.5524700000,327.9200000000,3.2300000000,1.7000000000,2022/11/17,"0149",T,"100",6.1NRT,278.9200000000,142.5200000000,N
9.6444800000,-63.5810000000,323.9300000000,3.2500000000,1.7000000000,2022/11/17,"0149",T,"100",6.1NRT,277.5100000000,117.6300000000,N
9.6195300000,-63.7244900000,316.9400000000,3.3400000000,1.7200000000,2022/11/17,"0149",T,"94",6.1NRT,282.8100000000,87.2500000000,N
9.6495500000,-63.6409700000,318.5100000000,3.2800000000,1.7100000000,2022/11/17,"0149",T,"97",6.1NRT,281.1000000000,93.0200000000,N
-31.3153400000,-64.9457600000,332.2200000000,1.6700000000,1.2700000000,2022/11/17,"0314",T,"100",6.1NRT,294.8400000000,67.6200000000,N
-18.6430400000,-62.7479100000,323.6000000000,4.5400000000,1.9600000000,2022/11/17,"0319",T,"100",6.1NRT,293.7700000000,178.8200000000,N
-18.6518400000,-62.7896900000,326.1400000000,4.5000000000,1.9500000000,2022/11/17,"0319",T,"100",6.1NRT,293.8900000000,201.5400000000,N
-18.6594500000,-62.7490100000,315.0800000000,4.5400000000,1.9600000000,2022/11/17,"0319",T,"91",6.1NRT,294.1100000000,115.8500000000,N
-18.6422600000,-62.7531000000,324.2400000000,4.5400000000,1.9600000000,2022/11/17,"0319",T,"100",6.1NRT,293.8500000000,194.2000000000,N
-18.6507900000,-62.7949600000,317.8000000000,4.5000000000,1.9500000000,2022/11/17,"0319",T,"96",6.1NRT,293.7400000000,135.6000000000,N
-17.1116500000,-67.0856500000,317.8700000000,2.3400000000,1.4800000000,2022/11/17,"0319",T,"96",6.1NRT,284.6200000000,62.9600000000,N
-13.0552500000,-66.5903900000,334.3100000000,3.0600000000,1.6600000000,2022/11/17,"0319",T,"100",6.1NRT,288.9400000000,171.9900000000,N
-13.0506500000,-66.5691200000,318.6900000000,3.0800000000,1.6700000000,2022/11/17,"0319",T,"97",6.1NRT,289.6800000000,80.8600000000,N
-13.0554700000,-66.5968600000,327.7100000000,3.0600000000,1.6600000000,2022/11/17,"0319",T,"100",6.1NRT,288.4300000000,129.0600000000,N
-13.5109000000,-73.5675200000,326.8000000000,1.0400000000,1.0200000000,2022/11/17,"0319",T,"100",6.1NRT,279.9900000000,29.3000000000,N
-13.5122800000,-73.5769900000,317.1400000000,1.0400000000,1.0200000000,2022/11/17,"0319",T,"94",6.1NRT,278.8000000000,19.4700000000,N
-13.5018700000,-73.5688900000,315.1700000000,1.0400000000,1.0200000000,2022/11/17,"0319",T,"91",6.1NRT,279.4600000000,17.1500000000,N
-22.8369700000,150.0459000000,350.5400000000,1.1200000000,1.0500000000,2022/11/17,"0404",A,"95",6.1NRT,309.2500000000,55.5600000000,D
-21.9071400000,149.2277200000,348.2000000000,1.0600000000,1.0300000000,2022/11/17,"0404",A,"93",6.1NRT,304.8100000000,51.3500000000,D
-20.2584200000,147.1252100000,346.3900000000,1.0000000000,1.0000000000,2022/11/17,"0404",A,"91",6.1NRT,308.4500000000,36.0300000000,D
-20.2597900000,147.1156900000,350.6900000000,1.0000000000,1.0000000000,2022/11/17,"0404",A,"94",6.1NRT,312.6600000000,44.7600000000,D
-19.4831800000,141.8619400000,351.6800000000,1.6800000000,1.2800000000,2022/11/17,"0404",A,"94",6.1NRT,315.5900000000,97.0200000000,D
